Run	Sample Characteristic[organism]	Sample Characteristic Ontology Term[organism]	Sample Characteristic[cell line]	Sample Characteristic Ontology Term[cell line]	Sample Characteristic[disease]	Sample Characteristic Ontology Term[disease]	Sample Characteristic[organism part]	Sample Characteristic Ontology Term[organism part]	Factor Value[cell line]	Factor Value Ontology Term[cell line]	Factor Value[disease]	Factor Value Ontology Term[disease]	Analysed
SRR8615292	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	EFM-192A	http://www.ebi.ac.uk/efo/EFO_0006568	breast carcinoma	http://www.ebi.ac.uk/efo/EFO_0000305	breast	http://purl.obolibrary.org/obo/UBERON_0000310	EFM-192A	http://www.ebi.ac.uk/efo/EFO_0006568	breast carcinoma	http://www.ebi.ac.uk/efo/EFO_0000305	Yes
SRR8615293	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	EM-2	http://www.ebi.ac.uk/efo/EFO_0002176	chronic myelogenous leukemia	http://www.ebi.ac.uk/efo/EFO_0000339	hematopoietic system and lymphoid system		EM-2	http://www.ebi.ac.uk/efo/EFO_0002176	chronic myelogenous leukemia	http://www.ebi.ac.uk/efo/EFO_0000339	Yes
SRR8615294	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	EN		endometrial carcinoma	http://www.ebi.ac.uk/efo/EFO_1001512	endometrium	http://purl.obolibrary.org/obo/UBERON_0001295	EN		endometrial carcinoma	http://www.ebi.ac.uk/efo/EFO_1001512	Yes
SRR8615295	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	PK-45H	http://www.ebi.ac.uk/efo/EFO_0006734	pancreatic carcinoma	http://www.ebi.ac.uk/efo/EFO_0002618	pancreas	http://purl.obolibrary.org/obo/UBERON_0001264	PK-45H	http://www.ebi.ac.uk/efo/EFO_0006734	pancreatic carcinoma	http://www.ebi.ac.uk/efo/EFO_0002618	Yes
SRR8615296	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	PK-1		pancreatic ductal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0002517	pancreas	http://purl.obolibrary.org/obo/UBERON_0001264	PK-1		pancreatic ductal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0002517	Yes
SRR8615297	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	DU4475	http://www.ebi.ac.uk/efo/EFO_0002168	breast carcinoma	http://www.ebi.ac.uk/efo/EFO_0000305	breast	http://purl.obolibrary.org/obo/UBERON_0000310	DU4475	http://www.ebi.ac.uk/efo/EFO_0002168	breast carcinoma	http://www.ebi.ac.uk/efo/EFO_0000305	Yes
SRR8615298	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	PE/CA-PJ41 (clone D2)		oral squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0000199	upper digestive tract	http://purl.obolibrary.org/obo/UBERON_0004908	PE/CA-PJ41 (clone D2)		oral squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0000199	Yes
SRR8615299	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	PE/CA-PJ34 (clone C12)		basaloid squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_1001940	upper digestive tract	http://purl.obolibrary.org/obo/UBERON_0004908	PE/CA-PJ34 (clone C12)		basaloid squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_1001940	Yes
SRR8615300	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	DU 145	http://www.ebi.ac.uk/efo/EFO_0005441	prostate carcinoma	http://www.ebi.ac.uk/efo/EFO_0001663	prostate	http://purl.obolibrary.org/obo/UBERON_0002367	DU 145	http://www.ebi.ac.uk/efo/EFO_0005441	prostate carcinoma	http://www.ebi.ac.uk/efo/EFO_0001663	Yes
SRR8615301	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	PC-9	http://www.ebi.ac.uk/efo/EFO_0002847	lung adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000571	lung	http://purl.obolibrary.org/obo/UBERON_0002048	PC-9	http://www.ebi.ac.uk/efo/EFO_0002847	lung adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000571	Yes
SRR8615302	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	Pfeiffer	http://www.ebi.ac.uk/efo/EFO_0006472	diffuse large B-cell lymphoma	http://www.ebi.ac.uk/efo/EFO_0000403	hematopoietic system and lymphoid system		Pfeiffer	http://www.ebi.ac.uk/efo/EFO_0006472	diffuse large B-cell lymphoma	http://www.ebi.ac.uk/efo/EFO_0000403	Yes
SRR8615303	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	PF-382		childhood T acute lymphoblastic leukemia	http://www.ebi.ac.uk/efo/EFO_1001947	hematopoietic system and lymphoid system		PF-382		childhood T acute lymphoblastic leukemia	http://www.ebi.ac.uk/efo/EFO_1001947	Yes
SRR8615304	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	PEER		childhood T acute lymphoblastic leukemia	http://www.ebi.ac.uk/efo/EFO_1001947	hematopoietic system and lymphoid system		PEER		childhood T acute lymphoblastic leukemia	http://www.ebi.ac.uk/efo/EFO_1001947	Yes
SRR8615305	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	PE/CA-PJ49		tongue squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_1000055	upper digestive tract	http://purl.obolibrary.org/obo/UBERON_0004908	PE/CA-PJ49		tongue squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_1000055	Yes
SRR8615306	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	SNU-308		gallbladder carcinoma	http://www.ebi.ac.uk/efo/EFO_1001956	biliary system	http://purl.obolibrary.org/obo/UBERON_0002294	SNU-308		gallbladder carcinoma	http://www.ebi.ac.uk/efo/EFO_1001956	Yes
SRR8615307	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	SNU-283		rectal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0005631	large intestine	http://purl.obolibrary.org/obo/UBERON_0000059	SNU-283		rectal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0005631	Yes
SRR8615308	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	SNU-245		cholangiocarcinoma	http://www.ebi.ac.uk/efo/EFO_0005221	biliary system	http://purl.obolibrary.org/obo/UBERON_0002294	SNU-245		cholangiocarcinoma	http://www.ebi.ac.uk/efo/EFO_0005221	Yes
SRR8615309	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	SNU-216	http://www.ebi.ac.uk/efo/EFO_0006754	gastric tubular adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1000030	stomach	http://purl.obolibrary.org/obo/UBERON_0000945	SNU-216	http://www.ebi.ac.uk/efo/EFO_0006754	gastric tubular adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1000030	Yes
SRR8615310	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	SNU-398	http://www.ebi.ac.uk/efo/EFO_0002347	hepatocellular carcinoma	http://www.ebi.ac.uk/efo/EFO_0000182	liver	http://purl.obolibrary.org/obo/UBERON_0002107	SNU-398	http://www.ebi.ac.uk/efo/EFO_0002347	hepatocellular carcinoma	http://www.ebi.ac.uk/efo/EFO_0000182	Yes
SRR8615311	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	SNU-387	http://www.ebi.ac.uk/efo/EFO_0002346	hepatocellular carcinoma	http://www.ebi.ac.uk/efo/EFO_0000182	liver	http://purl.obolibrary.org/obo/UBERON_0002107	SNU-387	http://www.ebi.ac.uk/efo/EFO_0002346	hepatocellular carcinoma	http://www.ebi.ac.uk/efo/EFO_0000182	Yes
SRR8615312	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	SNU-349		clear cell renal carcinoma	http://www.ebi.ac.uk/efo/EFO_0000349	kidney	http://purl.obolibrary.org/obo/UBERON_0002113	SNU-349		clear cell renal carcinoma	http://www.ebi.ac.uk/efo/EFO_0000349	Yes
SRR8615313	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	SNU-324		pancreatic adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1000044	pancreas	http://purl.obolibrary.org/obo/UBERON_0001264	SNU-324		pancreatic adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1000044	Yes
SRR8615314	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	NALM-1	http://www.ebi.ac.uk/efo/EFO_0002244	blast phase chronic myelogenous leukemia, BCR-ABL1 positive	http://www.ebi.ac.uk/efo/EFO_1000131	hematopoietic system and lymphoid system		NALM-1	http://www.ebi.ac.uk/efo/EFO_0002244	blast phase chronic myelogenous leukemia, BCR-ABL1 positive	http://www.ebi.ac.uk/efo/EFO_1000131	Yes
SRR8615315	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	CAL-54	http://www.ebi.ac.uk/efo/EFO_0002125	renal cell adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0005708	kidney	http://purl.obolibrary.org/obo/UBERON_0002113	CAL-54	http://www.ebi.ac.uk/efo/EFO_0002125	renal cell adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0005708	Yes
SRR8615316	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	SNU-410		pancreatic adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1000044	pancreas	http://purl.obolibrary.org/obo/UBERON_0001264	SNU-410		pancreatic adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1000044	Yes
SRR8615317	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	SNU-407		colon adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000365	large intestine	http://purl.obolibrary.org/obo/UBERON_0000059	SNU-407		colon adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000365	Yes
SRR8615318	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	NALM-19		B-cell acute lymphoblastic leukemia	http://www.ebi.ac.uk/efo/EFO_0000094	hematopoietic system and lymphoid system		NALM-19		B-cell acute lymphoblastic leukemia	http://www.ebi.ac.uk/efo/EFO_0000094	Yes
SRR8615319	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	Hs 751.T		Hodgkins lymphoma	http://www.ebi.ac.uk/efo/EFO_0000183	fibroblast	http://purl.obolibrary.org/obo/CL_0000057	Hs 751.T		Hodgkins lymphoma	http://www.ebi.ac.uk/efo/EFO_0000183	Yes
SRR8615320	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	Hs 766T	http://www.ebi.ac.uk/efo/EFO_0006590	pancreatic adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1000044	pancreas	http://purl.obolibrary.org/obo/UBERON_0001264	Hs 766T	http://www.ebi.ac.uk/efo/EFO_0006590	pancreatic adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1000044	Yes
SRR8615321	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	Hs 742.T		breast carcinoma	http://www.ebi.ac.uk/efo/EFO_0000305	fibroblast	http://purl.obolibrary.org/obo/CL_0000057	Hs 742.T		breast carcinoma	http://www.ebi.ac.uk/efo/EFO_0000305	Yes
SRR8615322	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	Hs 746T	http://www.ebi.ac.uk/efo/EFO_0006589	gastric adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000503	stomach	http://purl.obolibrary.org/obo/UBERON_0000945	Hs 746T	http://www.ebi.ac.uk/efo/EFO_0006589	gastric adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000503	Yes
SRR8615323	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	Hs 822.T		Ewing sarcoma	http://www.ebi.ac.uk/efo/EFO_0000174	fibroblast	http://purl.obolibrary.org/obo/CL_0000057	Hs 822.T		Ewing sarcoma	http://www.ebi.ac.uk/efo/EFO_0000174	Yes
SRR8615324	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	Hs 834.T		melanoma	http://www.ebi.ac.uk/efo/EFO_0000756	fibroblast	http://purl.obolibrary.org/obo/CL_0000057	Hs 834.T		melanoma	http://www.ebi.ac.uk/efo/EFO_0000756	Yes
SRR8615325	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	Hs 819.T		chondrosarcoma	http://www.ebi.ac.uk/efo/EFO_0000333	fibroblast	http://purl.obolibrary.org/obo/CL_0000057	Hs 819.T		chondrosarcoma	http://www.ebi.ac.uk/efo/EFO_0000333	Yes
SRR8615326	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	Hs 821.T		bone giant cell tumor	http://www.ebi.ac.uk/efo/EFO_0007176	fibroblast	http://purl.obolibrary.org/obo/CL_0000057	Hs 821.T		bone giant cell tumor	http://www.ebi.ac.uk/efo/EFO_0007176	Yes
SRR8615327	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	Hs 839.T	http://www.ebi.ac.uk/efo/EFO_0006591	melanoma	http://www.ebi.ac.uk/efo/EFO_0000756	fibroblast	http://purl.obolibrary.org/obo/CL_0000057	Hs 839.T	http://www.ebi.ac.uk/efo/EFO_0006591	melanoma	http://www.ebi.ac.uk/efo/EFO_0000756	Yes
SRR8615328	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	Hs 840.T		squamous papilloma	http://www.ebi.ac.uk/efo/EFO_1001970	fibroblast	http://purl.obolibrary.org/obo/CL_0000057	Hs 840.T		squamous papilloma	http://www.ebi.ac.uk/efo/EFO_1001970	Yes
SRR8615329	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	NCI-H1105		small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0000702	lung	http://purl.obolibrary.org/obo/UBERON_0002048	NCI-H1105		small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0000702	Yes
SRR8615330	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	SF767		cervical squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_1000172	cervix	http://purl.obolibrary.org/obo/UBERON_0000002	SF767		cervical squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_1000172	Yes
SRR8615331	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	NCI-H1092	http://www.ebi.ac.uk/efo/EFO_0002249	small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0000702	lung	http://purl.obolibrary.org/obo/UBERON_0002048	NCI-H1092	http://www.ebi.ac.uk/efo/EFO_0002249	small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0000702	Yes
SRR8615332	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	UOK101		clear cell renal carcinoma	http://www.ebi.ac.uk/efo/EFO_0000349	kidney	http://purl.obolibrary.org/obo/UBERON_0002113	UOK101		clear cell renal carcinoma	http://www.ebi.ac.uk/efo/EFO_0000349	Yes
SRR8615333	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	UO-31		renal cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0000681	kidney	http://purl.obolibrary.org/obo/UBERON_0002113	UO-31		renal cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0000681	Yes
SRR8615334	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	UM-UC-3	http://www.ebi.ac.uk/efo/EFO_0006771	bladder carcinoma	http://purl.obolibrary.org/obo/MONDO_0004986	urinary tract		UM-UC-3	http://www.ebi.ac.uk/efo/EFO_0006771	bladder carcinoma	http://purl.obolibrary.org/obo/MONDO_0004986	Yes
SRR8615335	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	UM-UC-1	http://www.ebi.ac.uk/efo/EFO_0006770	bladder carcinoma	http://purl.obolibrary.org/obo/MONDO_0004986	urinary tract		UM-UC-1	http://www.ebi.ac.uk/efo/EFO_0006770	bladder carcinoma	http://purl.obolibrary.org/obo/MONDO_0004986	Yes
SRR8615336	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	U-BLC1		bladder carcinoma	http://purl.obolibrary.org/obo/MONDO_0004986	urinary tract		U-BLC1		bladder carcinoma	http://purl.obolibrary.org/obo/MONDO_0004986	Yes
SRR8615337	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	UACC-893	http://www.ebi.ac.uk/efo/EFO_0002385	invasive ductal carcinoma	http://www.ebi.ac.uk/efo/EFO_0000186	breast	http://purl.obolibrary.org/obo/UBERON_0000310	UACC-893	http://www.ebi.ac.uk/efo/EFO_0002385	invasive ductal carcinoma	http://www.ebi.ac.uk/efo/EFO_0000186	Yes
SRR8615338	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	UACC-812	http://www.ebi.ac.uk/efo/EFO_0001258	invasive ductal carcinoma	http://www.ebi.ac.uk/efo/EFO_0000186	breast	http://purl.obolibrary.org/obo/UBERON_0000310	UACC-812	http://www.ebi.ac.uk/efo/EFO_0001258	invasive ductal carcinoma	http://www.ebi.ac.uk/efo/EFO_0000186	Yes
SRR8615339	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	UACC-62	http://www.ebi.ac.uk/efo/EFO_0005377	melanoma	http://www.ebi.ac.uk/efo/EFO_0000756	skin	http://purl.obolibrary.org/obo/UBERON_0000014	UACC-62	http://www.ebi.ac.uk/efo/EFO_0005377	melanoma	http://www.ebi.ac.uk/efo/EFO_0000756	Yes
SRR8615340	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	UACC-257	http://www.ebi.ac.uk/efo/EFO_0005376	melanoma	http://www.ebi.ac.uk/efo/EFO_0000756	skin	http://purl.obolibrary.org/obo/UBERON_0000014	UACC-257	http://www.ebi.ac.uk/efo/EFO_0005376	melanoma	http://www.ebi.ac.uk/efo/EFO_0000756	Yes
SRR8615341	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	NCI-H1048	http://www.ebi.ac.uk/efo/EFO_0002248	small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0000702	lung	http://purl.obolibrary.org/obo/UBERON_0002048	NCI-H1048	http://www.ebi.ac.uk/efo/EFO_0002248	small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0000702	Yes
SRR8615342	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	NCC-StC-K140		gastric carcinoma	http://www.ebi.ac.uk/efo/EFO_0000178	stomach	http://purl.obolibrary.org/obo/UBERON_0000945	NCC-StC-K140		gastric carcinoma	http://www.ebi.ac.uk/efo/EFO_0000178	Yes
SRR8615343	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	NB-4	http://www.ebi.ac.uk/efo/EFO_0002798	acute promyelocytic leukemia	http://www.ebi.ac.uk/efo/EFO_0000224	hematopoietic system and lymphoid system		NB-4	http://www.ebi.ac.uk/efo/EFO_0002798	acute promyelocytic leukemia	http://www.ebi.ac.uk/efo/EFO_0000224	Yes
SRR8615344	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	NB-1		neuroblastoma	http://www.ebi.ac.uk/efo/EFO_0000621	autonomic ganglion		NB-1		neuroblastoma	http://www.ebi.ac.uk/efo/EFO_0000621	Yes
SRR8615345	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	NAMALWA	http://www.ebi.ac.uk/efo/EFO_0002246	Epstein-Barr virus-related Burkitt lymphoma	http://www.ebi.ac.uk/efo/EFO_1001954	hematopoietic system and lymphoid system		NAMALWA	http://www.ebi.ac.uk/efo/EFO_0002246	Epstein-Barr virus-related Burkitt lymphoma	http://www.ebi.ac.uk/efo/EFO_1001954	Yes
SRR8615346	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	NALM-6	http://www.ebi.ac.uk/efo/EFO_0002245	adult B acute lymphoblastic leukemia	http://www.ebi.ac.uk/efo/EFO_1001935	hematopoietic system and lymphoid system		NALM-6	http://www.ebi.ac.uk/efo/EFO_0002245	adult B acute lymphoblastic leukemia	http://www.ebi.ac.uk/efo/EFO_1001935	Yes
SRR8615347	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	KMS-26	http://www.ebi.ac.uk/efo/EFO_0006615	multiple myeloma	http://www.ebi.ac.uk/efo/EFO_0001378	hematopoietic system and lymphoid system		KMS-26	http://www.ebi.ac.uk/efo/EFO_0006615	multiple myeloma	http://www.ebi.ac.uk/efo/EFO_0001378	Yes
SRR8615348	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	KMS-27	http://www.ebi.ac.uk/efo/EFO_0006616	multiple myeloma	http://www.ebi.ac.uk/efo/EFO_0001378	hematopoietic system and lymphoid system		KMS-27	http://www.ebi.ac.uk/efo/EFO_0006616	multiple myeloma	http://www.ebi.ac.uk/efo/EFO_0001378	Yes
SRR8615349	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	KMS-20		multiple myeloma	http://www.ebi.ac.uk/efo/EFO_0001378	hematopoietic system and lymphoid system		KMS-20		multiple myeloma	http://www.ebi.ac.uk/efo/EFO_0001378	Yes
SRR8615350	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	KMS-21BM	http://www.ebi.ac.uk/efo/EFO_0006614	multiple myeloma	http://www.ebi.ac.uk/efo/EFO_0001378	hematopoietic system and lymphoid system		KMS-21BM	http://www.ebi.ac.uk/efo/EFO_0006614	multiple myeloma	http://www.ebi.ac.uk/efo/EFO_0001378	Yes
SRR8615351	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	KMS-12-BM	http://www.ebi.ac.uk/efo/EFO_0006612	multiple myeloma	http://www.ebi.ac.uk/efo/EFO_0001378	hematopoietic system and lymphoid system		KMS-12-BM	http://www.ebi.ac.uk/efo/EFO_0006612	multiple myeloma	http://www.ebi.ac.uk/efo/EFO_0001378	Yes
SRR8615352	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	KMS-18		multiple myeloma	http://www.ebi.ac.uk/efo/EFO_0001378	hematopoietic system and lymphoid system		KMS-18		multiple myeloma	http://www.ebi.ac.uk/efo/EFO_0001378	Yes
SRR8615353	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	KMRC-3		clear cell renal carcinoma	http://www.ebi.ac.uk/efo/EFO_0000349	kidney	http://purl.obolibrary.org/obo/UBERON_0002113	KMRC-3		clear cell renal carcinoma	http://www.ebi.ac.uk/efo/EFO_0000349	Yes
SRR8615354	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	KMS-11	http://www.ebi.ac.uk/efo/EFO_0005694	multiple myeloma	http://www.ebi.ac.uk/efo/EFO_0001378	hematopoietic system and lymphoid system		KMS-11	http://www.ebi.ac.uk/efo/EFO_0005694	multiple myeloma	http://www.ebi.ac.uk/efo/EFO_0001378	Yes
SRR8615355	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	KMRC-20		clear cell renal carcinoma	http://www.ebi.ac.uk/efo/EFO_0000349	kidney	http://purl.obolibrary.org/obo/UBERON_0002113	KMRC-20		clear cell renal carcinoma	http://www.ebi.ac.uk/efo/EFO_0000349	Yes
SRR8615356	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	KMRC-2		clear cell renal carcinoma	http://www.ebi.ac.uk/efo/EFO_0000349	kidney	http://purl.obolibrary.org/obo/UBERON_0002113	KMRC-2		clear cell renal carcinoma	http://www.ebi.ac.uk/efo/EFO_0000349	Yes
SRR8615357	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	KELLY	http://www.ebi.ac.uk/efo/EFO_0002069	neuroblastoma	http://www.ebi.ac.uk/efo/EFO_0000621	autonomic ganglion		KELLY	http://www.ebi.ac.uk/efo/EFO_0002069	neuroblastoma	http://www.ebi.ac.uk/efo/EFO_0000621	Yes
SRR8615358	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	KE-97		mucinous gastric adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1000386	hematopoietic system and lymphoid system		KE-97		mucinous gastric adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1000386	Yes
SRR8615359	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	PA-TU-8988T	http://www.ebi.ac.uk/efo/EFO_0005713	pancreatic adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1000044	pancreas	http://purl.obolibrary.org/obo/UBERON_0001264	PA-TU-8988T	http://www.ebi.ac.uk/efo/EFO_0005713	pancreatic adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1000044	Yes
SRR8615360	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	KASUMI-2	http://www.ebi.ac.uk/efo/EFO_0002224	B-cell acute lymphoblastic leukemia	http://www.ebi.ac.uk/efo/EFO_0000094	hematopoietic system and lymphoid system		KASUMI-2	http://www.ebi.ac.uk/efo/EFO_0002224	B-cell acute lymphoblastic leukemia	http://www.ebi.ac.uk/efo/EFO_0000094	Yes
SRR8615361	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	KASUMI-1	http://www.ebi.ac.uk/efo/EFO_0006607	childhood acute myeloid leukemia with maturation	http://www.ebi.ac.uk/efo/EFO_1001945	hematopoietic system and lymphoid system		KASUMI-1	http://www.ebi.ac.uk/efo/EFO_0006607	childhood acute myeloid leukemia with maturation	http://www.ebi.ac.uk/efo/EFO_1001945	Yes
SRR8615362	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	KATO III	http://www.ebi.ac.uk/efo/EFO_0002217	signet ring cell gastric adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1000524	stomach	http://purl.obolibrary.org/obo/UBERON_0000945	KATO III	http://www.ebi.ac.uk/efo/EFO_0002217	signet ring cell gastric adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1000524	Yes
SRR8615363	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	Kasumi-6		adult acute myeloid leukemia	http://www.ebi.ac.uk/efo/EFO_1001934	hematopoietic system and lymphoid system		Kasumi-6		adult acute myeloid leukemia	http://www.ebi.ac.uk/efo/EFO_1001934	Yes
SRR8615364	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	KD [Human abdomen rhabdoid tumor]		malignant rhabdoid tumour	http://www.ebi.ac.uk/efo/EFO_0005701	soft tissue		KD [Human abdomen rhabdoid tumor]		malignant rhabdoid tumour	http://www.ebi.ac.uk/efo/EFO_0005701	Yes
SRR8615365	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	KCL-22		blast phase chronic myelogenous leukemia, BCR-ABL1 positive	http://www.ebi.ac.uk/efo/EFO_1000131	hematopoietic system and lymphoid system		KCL-22		blast phase chronic myelogenous leukemia, BCR-ABL1 positive	http://www.ebi.ac.uk/efo/EFO_1000131	Yes
SRR8615366	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	KE-39		gastric adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000503	stomach	http://purl.obolibrary.org/obo/UBERON_0000945	KE-39		gastric adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000503	Yes
